2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v51p (NC): shape=(19, 7983), duration=62.4s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v52p (NC): shape=(19, 13883), duration=108.5s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v53p (NC): shape=(19, 19122), duration=149.4s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v54p (NC): shape=(19, 19234), duration=150.3s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v55p (NC): shape=(19, 14282), duration=111.6s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v56p (NC): shape=(19, 14139), duration=110.5s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v57p (NC): shape=(19, 14692), duration=114.8s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v58p (NC): shape=(19, 13918), duration=108.7s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v59p (NC): shape=(19, 16513), duration=129.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v60p (NC): shape=(19, 12929), duration=101.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v6p (ADHD): shape=(19, 17561), duration=137.2s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v8p (ADHD): shape=(19, 15776), duration=123.2s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2: Loaded 121 subjects
2026-09-21 14:36:19 | src.preprocessing | INFO | DS-2 preprocessing: shape=(19, 19794), fs=128 Hz
2026-09-21 14:36:19 | src.preprocessing | INFO | Step 1: Butterworth bandpass [0.5-60.0 Hz], order=4
2026-09-21 14:36:21 | src.preprocessing | INFO | Step 2: Notch filter at 50.0 Hz
2026-09-21 14:36:21 | src.preprocessing | INFO | Step 3: Wavelet filtering (Coiflet-3, level 6)
2026-09-21 14:37:13 | src.preprocessing | INFO | Step 4: SURE denoising (level 6)
2026-09-21 14:37:13 | src.preprocessing | INFO | DS-2 preprocessing complete: shape=(19, 19794)
2026-09-21 14:37:13 | src.preprocessing | INFO | DS-2 preprocessing: shape=(19, 19026), fs=128 Hz
2026-09-21 14:37:13 | src.preprocessing | INFO | Step 1: Butterworth bandpass [0.5-60.0 Hz], order=4
2026-09-21 14:37:13 | src.preprocessing | INFO | Step 2: Notch filter at 50.0 Hz
2026-09-21 14:37:13 | src.preprocessing | INFO | Step 3: Wavelet filtering (Coiflet-3, level 6)
2026-09-21 14:38:02 | src.preprocessing | INFO | Step 4: SURE denoising (level 6)
2026-09-21 14:38:02 | src.preprocessing | INFO | DS-2 preprocessing complete: shape=(19, 19026)
2026-09-21 14:38:02 | src.preprocessing | INFO | DS-2 preprocessing: shape=(19, 16044), fs=128 Hz
2026-09-21 14:38:02 | src.preprocessing | INFO | Step 1: Butterworth bandpass [0.5-60.0 Hz], order=4
2026-09-21 14:38:02 | src.preprocessing | INFO | Step 2: Notch filter at 50.0 Hz
2026-09-21 14:38:02 | src.preprocessing | INFO | Step 3: Wavelet filtering (Coiflet-3, level 6)
